folio	codigo	descripcion	marca	cantidad	precio	categoria
2849	300019	BOLSA PAPEL #03 50/100PZ MORYSAN	MORYSAN	1	7.031	Subfamilia de Varios
2849	300020	BOLSA PAPEL #04 40/100PZ MORYSAN	MORYSAN	1	8.459	Subfamilia de Varios
2849	300029	BOLSA PAPEL #08 20/100PZ MORYSAN	MORYSAN	1	12.091	Subfamilia de Varios
2849	300026	BOLSA PAPEL #20 10/100PZ MORYSAN	MORYSAN	1	19.885	Subfamilia de Varios
2849	300142	BOLSA PAPEL #25 10/100PZ MORYSAN	MORYSAN	1	22.737	Subfamilia de Varios
2849	470021	PAPEL ESTRAZA BCO 50/KG PLASTICOS	PLASTICOS	2	16.324	Subfamilia de Varios
2849	470002	PAPEL ESTRAZA 70/KG PLASTICOS	PLASTICOS	1	5.558	Subfamilia de Varios
2849	300092	BOLSA 18*25 ROLLO COLOR 16/PZ CIMAPLAS	CIMAPLAS	3	38.745	Subfamilia de Varios
2849	300174	BOLSA 20*30 ROLLO COLOR 16/PQ ACIMAPLAS	CIMAPLAS .DC/40 	3	51.291	Subfamilia de Varios
2849	300214	BOLSA 60*90 NEGRA 25/KG CIMAPLAS	CIMAPLAS	2	49.488	Subfamilia de Varios
2849	210310	PORTAVASO 300/1 HUHTAMAKI	HUHTAMAKI	2	183.334	Subfamilia de Varios
2849	220049	FLAN 50/140GR GARI	GARI	1	3.303	Subfamilia de Varios
2849	220020	GEL GROSELLA 50/140GR GARI	GARI	1	0.308	Subfamilia de Varios
2849	220025	GEL NARANJA 50/140GR GARI	GARI	1	0.114	Subfamilia de Varios
2849	220018	GEL FRESA 50/140GR GARI	GARI	1	6.798	Subfamilia de Varios
2849	220012	GEL MORA 50/140 GARI	GARI	1	4.3	Subfamilia de Varios
2849	220055	GEL PISTACHE 50/140GR GARI	GARI	1	5.72	Subfamilia de Varios
2849	220024	GEL ROMPOPE 50/140GR GARI	MEXICANA	1	5.72	Subfamilia de Varios
2849	220028	GEL VAINILLA 50/140GR GARI	GARI	1	16.876	Subfamilia de Varios
2849	220116	GEL JEREZ 10/840GR GARI	GARI	2	34	Subfamilia de Varios
2850	210023	VASO 10 OZ CRISTAL NEON 20/30 CONVERMEX	CONVERMEX	4	31.892	Subfamilia de Varios
2850	210759	MOLDE 21 SUNDAE NAT. 20/50 CONVERMEX	CONVERMEX	2	27.3	Subfamilia de Varios
2850	210756	VASO # 8 CORNETO 40/25 CONVERMEX	CONVERMEX	5	42.25	Subfamilia de Varios
2850	210096	VASO # 7C 50/20PZ CONVERMEX	CONVERMEX	4	26.24	Subfamilia de Varios
2850	210198	VASO # 704 40/25PZ CONVERMEX	CONVERMEX	2	7.35	Subfamilia de Varios
2850	210020	VASO # 116 25/20PZ CONVERMEX	CONVERMEX	3	40.629	Subfamilia de Varios
2850	210287	VASO # 114 20/25 CONVERMEX	CONVERMEX	3	20.304	Subfamilia de Varios
2850	210016	VASO # 108 40/25PZ CONVERMEX	CONVERMEX	3	0.195	Subfamilia de Varios
2850	210015	VASO # 106 40/25PZ CONVERMEX	CONVERMEX	3	0.165	Subfamilia de Varios
2850	210334	TAPA # 416 POP 20/50 CONVERMEX	CONVERMEX	5	5.7	Subfamilia de Varios
2850	210950	TAPA # 414 POP 20/50 CONVERMEX	CONVERMEX	6	58.248	Subfamilia de Varios
2850	210024	TAPA # 410 20/50PZ CONVERMEX	CONVERMEX	2	0.03	Subfamilia de Varios
2850	180403	CHAROLA 855 PIC NIC 10/50 CONVERMEX	CONVERMEX	10	183.2	Subfamilia de Varios
2850	180411	CHAROLA 66 PIC NIC 10/50 CONVERMEX	CONVERMEX	7	128.24	Subfamilia de Varios
2850	400104	POPOTE 26CM RAYADO 50/150 POCR26 REYMA	REYMA	50	336.2	Subfamilia de Varios
2850	360120	CUCHARA PASTELERA # 1 60/50 REYMA	REYMA	4	21.036	Subfamilia de Varios
2850	180753	CONTENEDOR 8X8 LISO 8/25 REYMA	REYMA	6	34.68	Subfamilia de Varios
2850	180514	CONTENEDOR 8X8 DIV 8/25 REYMA	REYMA	6	109.92	Subfamilia de Varios
2850	180062	PLATO 8 LISO 25/20 REYMA	REYMA	2	0.238	Subfamilia de Varios
2850	181931	PLATO 10 LISO 20/25 REYMA	REYMA	2	17.242	Subfamilia de Varios
2850	180719	CHAROLA MARIEL 855 10/50 REYMA	REYMA	8	59.28	Subfamilia de Varios
2850	360042	CUCHARA CHICA AMARILLA 60/50 MARGARITA	MARGARITA	2	8.94	Subfamilia de Varios
2850	360214	CUCHARA CHICA BLANCA 60/50 MARGARITA	MARGARITA	2	7.586	Subfamilia de Varios
2850	210371	ENVASE 16MJ32 473ML.20/25 DART	DART	4	32.516	Subfamilia de Varios
2850	210363	ENVASE 32J32 946ML 20/15 DART	DART	3	0.273	Subfamilia de Varios
2850	210399	TAPA 10EL 10/100 DART	DART	4	17.312	Subfamilia de Varios
