folio,codigo,descripcion,marca,cantidad,precio,categoria
1,180753,CONTENEDOR 8X8 LISO 8/25 REYMA,REYMA,1.000000,5.780000,Subfamilia de Varios
2,180753,CONTENEDOR 8X8 LISO 8/25 REYMA,REYMA,1.000000,5.780000,Subfamilia de Varios
49,210414,VASO #10 20/50 PZ REYMA,REYMA,8.000000,33486.904000,Subfamilia de Varios
49,210172,VASO # 12 20/50PZ REYMA,REYMA,10.000000,5582.200000,Subfamilia de Varios
49,210173,VASO # 14 20/50PZ REYMA,REYMA,8.000000,54.576000,Subfamilia de Varios
49,210079,VASO # 8 20/50PZ REYMA,REYMA,15.000000,713.235000,Subfamilia de Varios
49,180297,CONTENEDOR 9X9 LISO 8/25 REYMA,REYMA,3.000000,13.500000,Subfamilia de Varios
49,180135,PLATO #PH8 25/20 URPRI,URPRI,15.000000,488551.695000,Subfamilia de Varios
50,150014,SABRISURTIDO 1/30PZ ALEGRO,ALEGRO,10.000000,702.820000,BOTANAS
50,150016,SABRIMAYOREO 44PZ ALEGRO,ALEGRO,5.000000,675.000000,BOTANAS
50,210016,VASO # 108 40/25PZ CONVERMEX,CONVERMEX,8.000000,0.520000,Subfamilia de Varios
50,210017,VASO # 110 40/25PZ CONVERMEX,CONVERMEX,8.000000,35.064000,Subfamilia de Varios
50,210020,VASO # 116 25/20PZ CONVERMEX,CONVERMEX,6.000000,81.258000,Subfamilia de Varios
50,210146,VASO # 732 20/15PZ CONVERMEX,CONVERMEX,5.000000,2.475000,Subfamilia de Varios
50,180722,CHAROLA MARIEL 66 10/50 REYMA,REYMA,15.000000,86.250000,Subfamilia de Varios
50,180753,CONTENEDOR 8X8 LISO 8/25 REYMA,REYMA,5.000000,28.900000,Subfamilia de Varios
50,210414,VASO #10 20/50 PZ REYMA,REYMA,8.000000,33486.904000,Subfamilia de Varios
50,210172,VASO # 12 20/50PZ REYMA,REYMA,10.000000,5582.200000,Subfamilia de Varios
50,210173,VASO # 14 20/50PZ REYMA,REYMA,8.000000,54.576000,Subfamilia de Varios
50,210079,VASO # 8 20/50PZ REYMA,REYMA,15.000000,713.235000,Subfamilia de Varios
50,180297,CONTENEDOR 9X9 LISO 8/25 REYMA,REYMA,3.000000,13.500000,Subfamilia de Varios
50,180135,PLATO #PH8 25/20 URPRI,URPRI,15.000000,488551.695000,Subfamilia de Varios
53,050397,PAQUETE DIVERSION 6/1.5KG BARCEL,BARCEL,3.000000,24.900000,PRODUCTOS DE CONFITERIA
53,080062,PAL CHUPADEDO 22GRS 24/30 VERO,VERO,1.000000,7.400000,PRODUCTOS DE CONFITERIA
53,150130,MEGA DONA C/CHILE 10/24 TOTIS,TOTIS,3.000000,0.012000,BOTANAS
53,050397,PAQUETE DIVERSION 6/1.5KG BARCEL,BARCEL,5.000000,41.500000,PRODUCTOS DE CONFITERIA
53,090011,BOMBON CHOC.20/50PZ DLR,DLR,5.000000,6.780000,PRODUCTOS DE CONFITERIA
53,120013,MAZAPAN GRANDE 20/30/28GR DLR,DLR,5.000000,5.230000,PRODUCTOS DE CONFITERIA
54,050397,PAQUETE DIVERSION 6/1.5KG BARCEL,BARCEL,3.000000,24.900000,PRODUCTOS DE CONFITERIA
54,080062,PAL CHUPADEDO 22GRS 24/30 VERO,VERO,1.000000,7.400000,PRODUCTOS DE CONFITERIA
54,150130,MEGA DONA C/CHILE 10/24 TOTIS,TOTIS,3.000000,0.012000,BOTANAS
54,050397,PAQUETE DIVERSION 6/1.5KG BARCEL,BARCEL,5.000000,41.500000,PRODUCTOS DE CONFITERIA
54,090011,BOMBON CHOC.20/50PZ DLR,DLR,5.000000,6.780000,PRODUCTOS DE CONFITERIA
54,120013,MAZAPAN GRANDE 20/30/28GR DLR,DLR,5.000000,5.230000,PRODUCTOS DE CONFITERIA
55,020039,DUVALIN TRISABOR 24/18PZ BARCEL,BARCEL,136.000000,1416.712000,PRODUCTOS DE CONFITERIA
55,080284,MINI PALETA PAYASO 12/15 BARCEL,BARCEL,110.000000,2765.070000,PRODUCTOS DE CONFITERIA
55,010245,BOCADIN CHOC BLS 12/50 BARCEL,BARCEL,250.000000,4375.000000,PRODUCTOS DE CONFITERIA
60,180753,CONTENEDOR 8X8 LISO 8/25 REYMA,REYMA,5.000000,28.900000,Subfamilia de Varios
60,180297,CONTENEDOR 9X9 LISO 8/25 REYMA,REYMA,3.000000,13.500000,Subfamilia de Varios
61,180753,CONTENEDOR 8X8 LISO 8/25 REYMA,REYMA,5.000000,28.900000,Subfamilia de Varios
61,180297,CONTENEDOR 9X9 LISO 8/25 REYMA,REYMA,3.000000,13.500000,Subfamilia de Varios
64,010245,BOCADIN CHOC BLS 12/50 BARCEL,BARCEL,5.000000,87.500000,PRODUCTOS DE CONFITERIA
65,010245,BOCADIN CHOC BLS 12/50 BARCEL,BARCEL,5.000000,87.500000,PRODUCTOS DE CONFITERIA
66,210017,VASO # 110 40/25PZ CONVERMEX,CONVERMEX,5.000000,21.915000,Subfamilia de Varios
66,210016,VASO # 108 40/25PZ CONVERMEX,CONVERMEX,5.000000,0.325000,Subfamilia de Varios
66,210414,VASO #10 20/50 PZ REYMA,REYMA,5.000000,20929.315000,Subfamilia de Varios
66,210020,VASO # 116 25/20PZ CONVERMEX,CONVERMEX,3.000000,40.629000,Subfamilia de Varios
66,180753,CONTENEDOR 8X8 LISO 8/25 REYMA,REYMA,5.000000,28.900000,Subfamilia de Varios
66,210474,VASO 16J165 25/20 DART,DART,2.000000,15.068000,Subfamilia de Varios
67,210017,VASO # 110 40/25PZ CONVERMEX,CONVERMEX,5.000000,21.915000,Subfamilia de Varios
67,210016,VASO # 108 40/25PZ CONVERMEX,CONVERMEX,5.000000,0.325000,Subfamilia de Varios
67,210414,VASO #10 20/50 PZ REYMA,REYMA,5.000000,20929.315000,Subfamilia de Varios
67,210020,VASO # 116 25/20PZ CONVERMEX,CONVERMEX,3.000000,40.629000,Subfamilia de Varios
67,180753,CONTENEDOR 8X8 LISO 8/25 REYMA,REYMA,5.000000,28.900000,Subfamilia de Varios
67,210474,VASO 16J165 25/20 DART,DART,2.000000,15.068000,Subfamilia de Varios
68,180753,CONTENEDOR 8X8 LISO 8/25 REYMA,REYMA,15.000000,86.700000,Subfamilia de Varios
69,180753,CONTENEDOR 8X8 LISO 8/25 REYMA,REYMA,15.000000,86.700000,Subfamilia de Varios
80,380001,OBLEA TIRA 50/10PZ BARCEL,BARCEL,10.000000,47.790000,PRODUCTOS DE CONFITERIA
80,080029,PALETON TIRA 50/10PZ BARCEL,BARCEL,9.000000,0.909000,PRODUCTOS DE CONFITERIA
80,020039,DUVALIN TRISABOR 24/18PZ BARCEL,BARCEL,15.000000,156.255000,PRODUCTOS DE CONFITERIA
80,010245,BOCADIN CHOC BLS 12/50 BARCEL,BARCEL,25.000000,437.500000,PRODUCTOS DE CONFITERIA
80,050397,PAQUETE DIVERSION 6/1.5KG BARCEL,BARCEL,25.000000,207.500000,PRODUCTOS DE CONFITERIA
80,090011,BOMBON CHOC.20/50PZ DLR,DLR,15.000000,20.340000,PRODUCTOS DE CONFITERIA
80,090083,BOMBON MEDIANO 15/400GR DLR,DLR,5.000000,64.500000,PRODUCTOS DE CONFITERIA
80,090082,BOMBON GIGANTE 15/400GR DLR,DLR,30.000000,369.000000,PRODUCTOS DE CONFITERIA
80,090043,BOMBON SUPER GTE COLORES C/5 DLR,DLR,10.000000,141.200000,PRODUCTOS DE CONFITERIA
80,050109,DAMY 12/100PZ MONTES,MONTES,10.000000,270.270000,PRODUCTOS DE CONFITERIA
80,150014,SABRISURTIDO 1/30PZ ALEGRO,ALEGRO,10.000000,702.820000,BOTANAS
